,Comment,feeling,TimeStamp,UID,Url
104,医者仁心 致敬！,0.9300374823303272,1040.461,296c0ca,https://comment.bilibili.com/373390209.xml
105,礼物，真是个“好”形容词,0.5201030606880748,1988.107,af6a4881,https://comment.bilibili.com/373390209.xml
106,愿世界和平,0.9723788230521836,1470.418,87a9aa0d,https://comment.bilibili.com/373390209.xml
107,太可爱了老爷爷,0.8436038411787161,4069.189,39324ee6,https://comment.bilibili.com/373390209.xml
108,这才是真正的医生,0.469985237396385,1300.532,fde1cafe,https://comment.bilibili.com/373390209.xml
109,希望世界不再有战争,0.9911962878401566,1187.811,b42154e7,https://comment.bilibili.com/373390209.xml
110,一切都是最好的安排,0.7065464648573624,591.492,3932744c,https://comment.bilibili.com/373390209.xml
111,声音好好听啊！,0.2957052064540913,4364.466,ff0ab8dd,https://comment.bilibili.com/373390209.xml
112,满门中裂啊！,0.4737672181921908,1951.646,9d42cc72,https://comment.bilibili.com/373390209.xml
113,老爷子刚刚那个挥手好可爱 !,0.9651233363005264,4067.108,34ec3977,https://comment.bilibili.com/373390209.xml
114,第一次看这个正好是许老逝世一周年，缅怀！,0.9581960947581736,4150.334,cb52ad6e,https://comment.bilibili.com/373390209.xml
115,好家伙 我也联想,0.6422488862195486,1768.201,647118fd,https://comment.bilibili.com/373390209.xml
116,感觉他们眼中都有泪,0.9491122639407829,1112.269,3df5b968,https://comment.bilibili.com/373390209.xml
117,月光如水，这句好打动我,0.9170849129398136,4060.645,68a8007f,https://comment.bilibili.com/373390209.xml
118,哈哈哈正在用联想的笔记本电脑,0.8969690448122086,1729.879,99584ad6,https://comment.bilibili.com/373390209.xml
119,后来遇到了某个人后才知道，遇见，是福；没遇见，也是。,0.7132802571361554,2847.162,6ce6072,https://comment.bilibili.com/373390209.xml
120,我外的副校长！！,0.8009251418513984,4348.753,a1e77710,https://comment.bilibili.com/373390209.xml
121,她就是他那个领域里面我们不知道的英雄、理想,0.9990584619768031,1081.626,e35ebd46,https://comment.bilibili.com/373390209.xml
122,愿世界和平，他们都能有自己美好的未来，一片蔚蓝的天空。,0.9998814449776674,1462.461,3388de32,https://comment.bilibili.com/373390209.xml
123,这段掐了可太可爱了,0.7720338405207928,2649.149,b4637396,https://comment.bilibili.com/373390209.xml
124,他们只要不看提词器就在看彼此,0.3797251224689288,2396.05,b4637396,https://comment.bilibili.com/373390209.xml
125,沈从文：“我们相爱一生，还是太短”,0.9895910588749908,2819.005,fdc27883,https://comment.bilibili.com/373390209.xml
126,这个姐姐很有文采，很会讲述故事,0.9771050739238208,1249.682,aec4b94d,https://comment.bilibili.com/373390209.xml
127,她的业绩，是一颗伟岸高大的常青树：给我们的诊断书，是常青树上的一片绿叶。,0.9867957856776772,611.838,99d0ea55,https://comment.bilibili.com/373390209.xml
128,真是“满门忠烈”柳传志,0.6299996153468053,1723.806,c0c93649,https://comment.bilibili.com/373390209.xml
129,蛮接地气儿,0.9669983999240052,2135.599,f645a73a,https://comment.bilibili.com/373390209.xml
130,可恶！是我没有拥有的爱情,0.8077859411291255,2498.734,3eb77e2,https://comment.bilibili.com/373390209.xml
131,眼含泪光。真的深有体会,0.8966834376148927,497.02,db781c79,https://comment.bilibili.com/373390209.xml
132,很高兴遇见朗读者，看得太晚了，希望以后的每一季都不会错过,0.9828000756568416,4472.588,98f7654f,https://comment.bilibili.com/373390209.xml
133,爷爷思维还很敏捷呢,0.9932073666508614,4124.722,98f7654f,https://comment.bilibili.com/373390209.xml
134,哈哈哈哈好可爱,0.9773510495340744,1716.989,364b4206,https://comment.bilibili.com/373390209.xml
135,真的是热爱到骨子里,0.9047872290385202,3992.847,fd52d3,https://comment.bilibili.com/373390209.xml
136,永远不要低估一个父亲的对子女的深沉的爱,0.9990757946333446,1995.612,7b9991a5,https://comment.bilibili.com/373390209.xml
137,爱小破站哈哈哈哈,0.8700250886403729,91.833,1c259bb4,https://comment.bilibili.com/373390209.xml
138,致敬许老先生,0.9286893541085044,3551.096,471d38a2,https://comment.bilibili.com/373390209.xml
139,人性的枷锁里面主人公的跛脚，给他留下了一辈子的阴影,0.9955580939587668,420.465,dacf47dd,https://comment.bilibili.com/373390209.xml
140,心存善良才更能感受到生活中的美好,0.9990205251834308,725.799,635993bc,https://comment.bilibili.com/373390209.xml
141,为什么我在听她描述这一段的时候会流泪,0.9343567841333807,1176.348,296a7e5a,https://comment.bilibili.com/373390209.xml
142,美好的爱情让人发自内心地展露笑容,0.9956319984749348,2378.86,e0561cfa,https://comment.bilibili.com/373390209.xml
143,第一次不跳片头,0.298307599583451,56.836,fa51142c,https://comment.bilibili.com/373390209.xml
144,这句话说的真好,0.5285417850449554,3087.615,4cf1dc04,https://comment.bilibili.com/373390209.xml
145,在用小新pad看哈哈哈哈哈哈,0.9868728947555526,1753.615,3169365e,https://comment.bilibili.com/373390209.xml
146,从前我迷失了自我，现在我们是彼此互相救赎的光,0.995471865285492,2313.66,daa73952,https://comment.bilibili.com/373390209.xml
147,愿世界和平,0.9723788230521836,1466.834,bb556e53,https://comment.bilibili.com/373390209.xml
148,读的真好，画面感满分,0.9771300573559292,967.488,14ddffd3,https://comment.bilibili.com/373390209.xml
149,梦开始的地方,0.6326901619953943,212.861,bb556e53,https://comment.bilibili.com/373390209.xml
150,总有人在生命中留下抹不去的痕迹,0.8144916666914219,193.276,4e4f4899,https://comment.bilibili.com/373390209.xml
151,当时高中语文课看到这个，现在我都要大学毕业了,0.96124479739637,2171.098,45fb3add,https://comment.bilibili.com/373390209.xml
152,许先生内心很坦荡,0.9462814602003996,4126.273,f93dab6a,https://comment.bilibili.com/373390209.xml
153,看完第三季看第一季，感觉第一季节奏好快啊,0.998448704835264,1298.341,e4476cfa,https://comment.bilibili.com/373390209.xml
154,听她们讲话世界都变得温柔了，呜呜呜,0.9899864169181524,3018.583,cb6e028d,https://comment.bilibili.com/373390209.xml
155,好喜欢这样谈话的方式,0.9314792036727864,2985.514,e5875180,https://comment.bilibili.com/373390209.xml
156,我相信爱情了,0.8782608695652173,2765.914,e5875180,https://comment.bilibili.com/373390209.xml
157,他竟然担任过中科院计算机所所长,0.07433914015754939,1678.189,6c07242e,https://comment.bilibili.com/373390209.xml
158,这段太有爱太有力量了 好喜欢,0.9662672152824964,3404.654,13c28afa,https://comment.bilibili.com/373390209.xml
159,好美好好有气质，声音好温柔好好听,0.9834213963589936,2918.948,13c28afa,https://comment.bilibili.com/373390209.xml
160,真的太美了太美了 知性 温柔 又有力量,0.9996305090508144,3400.513,8d91e86e,https://comment.bilibili.com/373390209.xml
161,父母之爱子，则为之计深远,0.9045352334386949,2088.23,6e4e35ad,https://comment.bilibili.com/373390209.xml
162,真的是人间天使了,0.9345643975832852,1363.62,7cda9e6a,https://comment.bilibili.com/373390209.xml
163,无国界医生好伟大,0.8179898959856687,1320.9,7cda9e6a,https://comment.bilibili.com/373390209.xml
164,蒲老师这个笑这个红了的眼眶，看了也让人红了眼眶,0.9991446310838822,504.061,7cda9e6a,https://comment.bilibili.com/373390209.xml
165,上一个一般人也遇见不到,0.15045230272511356,2898.081,2ede06bd,https://comment.bilibili.com/373390209.xml
166,看不出来都已经81了！以为只有四五十岁,0.3323921484746418,4395.794,4b03e121,https://comment.bilibili.com/373390209.xml
167,会不会是误诊了哈哈哈哈哈哈,0.9789633459154244,4134.585,919396b0,https://comment.bilibili.com/373390209.xml
168,先生真是桃李满天下,0.5,4361.471,864fac73,https://comment.bilibili.com/373390209.xml
169,羡慕的泪水流下,0.9995492726634124,2772.822,f1c44703,https://comment.bilibili.com/373390209.xml
170,董卿姐姐好可爱,0.9477794848304641,1791.263,fb9c035a,https://comment.bilibili.com/373390209.xml
171,他们的话语间都好有感情,0.9470999419048292,524.106,e8f19c2e,https://comment.bilibili.com/373390209.xml
172,灵魂拷问,0.8901424531480241,26.447,6c41e580,https://comment.bilibili.com/373390209.xml
173,好 很高兴点开 很高兴遇见你,0.8642622609126679,4453.821,a6888490,https://comment.bilibili.com/373390209.xml
174,新生儿都是未来的希望,0.968908354501239,1214.919,198f52e3,https://comment.bilibili.com/373390209.xml
175,可是老舍不姓舍啊，只是他取的寓意是舍予，那不就是舍得舍得的音调嘛,0.934582260293644,397.96,aa229698,https://comment.bilibili.com/373390209.xml
176,父亲致辞要什么谦逊。。况且也没说什么过分张扬的,0.7047755687476571,2135.6,2ab61b8,https://comment.bilibili.com/373390209.xml
177,太羡慕了，这就是爱情最初的模样。,0.9994705797001078,2742.29,aaddf08e,https://comment.bilibili.com/373390209.xml
178,这是一位天使,0.5,1101.956,f2849e95,https://comment.bilibili.com/373390209.xml
179,眼睛里面散发出来的温柔气质美丽,0.964506787971206,3178.991,4e341bcb,https://comment.bilibili.com/373390209.xml
180,温柔的姐姐,0.9357887768165892,3015.391,4e341bcb,https://comment.bilibili.com/373390209.xml
181,《你正直吗？》,0.8020330678228421,1679.122,a352228e,https://comment.bilibili.com/373390209.xml
182,许老讲话带有非常浓重的南昌味哈哈哈哈哈哈,0.921318386666778,3633.618,92315fee,https://comment.bilibili.com/373390209.xml
183,来个人介绍一下吧,0.6454419770337204,1677.907,92315fee,https://comment.bilibili.com/373390209.xml
184,我个人认为，每一天有那么多新生儿，是因为医生数量稀缺。,0.3640168503279686,1218.642,92315fee,https://comment.bilibili.com/373390209.xml
185,这是我写在高中作文里的一段话，已经过去五年了,0.9399092317093666,237.728,e231276b,https://comment.bilibili.com/373390209.xml
186,愿世界和平,0.9723788230521836,1473.764,6c41e580,https://comment.bilibili.com/373390209.xml
187,心怀善良的人永远不老，即使离开了人世也活著。,0.9982904895757532,702.82,38c328e7,https://comment.bilibili.com/373390209.xml
188,卑微老父亲哈哈,0.43556572439111296,1976.429,6797ff5b,https://comment.bilibili.com/373390209.xml
189,桃李不言下自成蹊,0.4005149975561668,4449.508,89b1a0fb,https://comment.bilibili.com/373390209.xml
190,满门忠烈柳传志,0.6299996153468053,1543.976,872d9965,https://comment.bilibili.com/373390209.xml
191,用联想看老板,0.4595727894779599,1790.305,52d0657e,https://comment.bilibili.com/373390209.xml
192,翻译生留下了泪水,0.9413433811267,4083.047,b96b395a,https://comment.bilibili.com/373390209.xml
193,刚刚那一笑饱含缅怀和憧憬，眼里有着星光，真的好可爱,0.99972553963113,732.997,bd97b59e,https://comment.bilibili.com/373390209.xml
194,永远年轻，永远热泪盈眶,0.97621461914446,3994.453,b9d21375,https://comment.bilibili.com/373390209.xml
195,满门中裂柳传志,0.6299996153468053,1624.461,c9754cc9,https://comment.bilibili.com/373390209.xml
196,大二，一刷，惭愧惭愧,0.9975889442910928,528.316,fc51ea45,https://comment.bilibili.com/373390209.xml
197,朗读者的出现改变了我的想法,0.9935948146860101,55.119,c467c0ff,https://comment.bilibili.com/373390209.xml
198,哈哈哈哈哈画风突变,0.775987604388185,3803.755,935348b8,https://comment.bilibili.com/373390209.xml
199,“我们相爱一生  还是太短”,0.922834920502287,2823.07,bd8b7c05,https://comment.bilibili.com/373390209.xml
200,浪漫是打败庸常的唯一武器,0.9371359616084706,2569.93,bd8b7c05,https://comment.bilibili.com/373390209.xml
201,还以为递了个红包,0.7448915422043766,3596.72,355f1ba0,https://comment.bilibili.com/373390209.xml
202,满门终烈,0.4737672181921908,1561.466,8d38eaaf,https://comment.bilibili.com/373390209.xml
203,阅读理解：为什么说了两遍改良私塾？,0.9900321928213284,930.933,33f35efd,https://comment.bilibili.com/373390209.xml
204,你如果走进我的心里，你就会知道自己怎样怎样的好,0.5632588705117355,2388.766,c8f22499,https://comment.bilibili.com/373390209.xml
205,那个时代柳老很了不起的,0.9727519946229412,1553.189,a49fac49,https://comment.bilibili.com/373390209.xml
206,刚看了柳家满门中裂这个梗，真的很过分,0.09704371100112008,1754.346,9bd5ca48,https://comment.bilibili.com/373390209.xml
207,此生无悔入华夏,0.7752706115399101,1495.12,7a9a17,https://comment.bilibili.com/373390209.xml
208,好可爱的老爷子 说到翻译 激动的马上就接下去了,0.90611776980589,4051.836,f538188f,https://comment.bilibili.com/373390209.xml
209,很有原则的人,0.9126496286001268,1758.246,72d289,https://comment.bilibili.com/373390209.xml
210,正直的人柳传志,0.9104522923236824,1679.88,72d289,https://comment.bilibili.com/373390209.xml
211,《传统》,0.8210526315789473,2106.4,6677777e,https://comment.bilibili.com/373390209.xml
212,这段词真的倒背如流,0.4278188271716078,255.911,e98ca5c9,https://comment.bilibili.com/373390209.xml
213,啊，太浪漫了吧，这就是爱情呀，看对方的眼神都是盈盈浪漫～,0.9979811794655896,2459.574,79c34795,https://comment.bilibili.com/373390209.xml
214,我觉得这个姐姐好漂亮,0.9771207852560192,1402.237,f9d83b6f,https://comment.bilibili.com/373390209.xml
215,多年以后我仍记得拥有这座花园的夫妻,0.9979671079458704,2218.471,a8f5afc8,https://comment.bilibili.com/373390209.xml
216,“正直”,0.818181818181818,1702.221,899056ab,https://comment.bilibili.com/373390209.xml
217,我真的感觉无国界医生好伟大,0.8332397996803625,1321.037,3769dc47,https://comment.bilibili.com/373390209.xml
218,很喜欢朱生豪先生，看到这里的时候泪目了,0.977037013159585,2421.627,c4119306,https://comment.bilibili.com/373390209.xml
219,可想而知，他年轻的时候应该更有意思。,0.9416209651772066,4071.653,7332eefd,https://comment.bilibili.com/373390209.xml
220,哈哈哈哈来自1994年的大饼,0.984117877802284,2752.043,8b01d043,https://comment.bilibili.com/373390209.xml
221,前面的，就是因为战乱，所以这些新生儿才是希望,0.8426454821008784,1213.49,866ae54d,https://comment.bilibili.com/373390209.xml
222,哇塞限定节目,0.10720657598879836,312.022,957ca7c5,https://comment.bilibili.com/373390209.xml
223,这一段我真的好喜欢,0.9219934299088504,3396.861,bffc666f,https://comment.bilibili.com/373390209.xml
224,不愧是话剧演员啊,0.9997650559591053,900.072,310dfb87,https://comment.bilibili.com/373390209.xml
225,真的是一百岁，泪目,0.7926338360561146,3960.722,bda78521,https://comment.bilibili.com/373390209.xml
226,睡到自然醒不存在的，每天在梦里都被妈妈薅起来,0.8336870470955225,3407.856,389dc150,https://comment.bilibili.com/373390209.xml
227,正好在写历史作业，泪目,0.9948569785780754,1503.996,fedf9663,https://comment.bilibili.com/373390209.xml
228,卧槽这想法,0.7826653358894131,3453.777,3ff4bc46,https://comment.bilibili.com/373390209.xml
229,我真是要被小董这语气笑死了哈哈哈哈哈哈哈哈,0.9517241503898975,3721.319,10f21449,https://comment.bilibili.com/373390209.xml
230,2022.2再来看这一集，怎么这一期的人和物这么巧,0.9873445829214192,1552.814,1b012797,https://comment.bilibili.com/373390209.xml
231,辜负这句话了,0.7782639453934368,2035.964,de2669bc,https://comment.bilibili.com/373390209.xml
232,错过任何一个，就站不到今天了,0.7349587024380975,592.097,de2669bc,https://comment.bilibili.com/373390209.xml
233,乌克兰和俄罗斯和这首诗很配,0.9959499257410556,1408.718,7b635a64,https://comment.bilibili.com/373390209.xml
234,真的是天使,0.9271816917448056,1218.216,5c8999d2,https://comment.bilibili.com/373390209.xml
235,马上收起笑容真的是,0.5595702171857165,397.797,1afe02df,https://comment.bilibili.com/373390209.xml
236,写作文还用过这段开头,0.9685729713683447,300.34,9392fb67,https://comment.bilibili.com/373390209.xml
237,哈哈哈前面的，我也在用联想的电脑看朗读者,0.9011921084421024,1743.879,f1216ef2,https://comment.bilibili.com/373390209.xml
238,先生在后面笑的好开心,0.9123782972470036,4432.255,9cd0fa87,https://comment.bilibili.com/373390209.xml
239,当时老先生听力还很好,0.9843425397790948,4180.08,ff54a7e3,https://comment.bilibili.com/373390209.xml
240,这也都是他人生路上的贵人啊,0.8626497632613942,597.54,291cb142,https://comment.bilibili.com/373390209.xml
241,多注意尾音就念的更好啦,0.456459273418989,1437.603,501eef7c,https://comment.bilibili.com/373390209.xml
242,董卿的眼神里都是星光啊,0.9480162259883574,403.599,38e44b83,https://comment.bilibili.com/373390209.xml
