TimeStamp,Frequency,feeling_positive,feeling_negative,Class
12,1,1,0,2f.csv
12,1,1,0,2g.csv
12,1,1,0,2h.csv
12,0,0,0,2i.csv
12,1,1,0,2j.csv
12,12,5,7,2k.csv
12,24,14,10,2l.csv
12,79,55,24,3a.csv
12,59,52,7,3b.csv
12,26,19,7,3c.csv
12,26,19,7,3d.csv
12,13,12,1,3e.csv
12,18,12,6,3f.csv
12,4,4,0,3g.csv
13,27,18,9,1a.csv
13,3,2,1,1b.csv
13,4,3,1,1c.csv
13,0,0,0,1e.csv
13,25,22,3,1f.csv
13,3,3,0,1g.csv
13,3,3,0,1h.csv
13,0,0,0,1i.csv
13,0,0,0,1j.csv
13,2,2,0,1k.csv
13,7,4,3,1l.csv
13,3,3,0,1m.csv
13,10,8,2,2a.csv
13,0,0,0,2b.csv
13,9,3,6,2c.csv
13,2,0,2,2d.csv
13,1,1,0,2e.csv
13,1,1,0,2f.csv
13,1,1,0,2g.csv
13,1,1,0,2h.csv
13,0,0,0,2i.csv
13,1,1,0,2j.csv
13,11,5,6,2k.csv
13,23,13,10,2l.csv
13,74,52,22,3a.csv
13,65,56,9,3b.csv
13,28,20,8,3c.csv
13,28,20,8,3d.csv
13,13,13,0,3e.csv
13,17,12,5,3f.csv
13,4,4,0,3g.csv
14,25,16,9,1a.csv
14,1,0,1,1b.csv
14,4,3,1,1c.csv
14,0,0,0,1e.csv
14,24,21,3,1f.csv
14,4,4,0,1g.csv
14,2,2,0,1h.csv
14,0,0,0,1i.csv
14,0,0,0,1j.csv
14,3,3,0,1k.csv
14,7,4,3,1l.csv
14,2,2,0,1m.csv
14,8,8,0,2a.csv
14,0,0,0,2b.csv
14,10,3,7,2c.csv
14,2,0,2,2d.csv
14,1,1,0,2e.csv
14,1,1,0,2f.csv
14,1,1,0,2g.csv
14,1,1,0,2h.csv
14,0,0,0,2i.csv
14,1,1,0,2j.csv
14,9,5,4,2k.csv
14,20,13,7,2l.csv
14,76,57,19,3a.csv
14,65,55,10,3b.csv
14,28,20,8,3c.csv
14,28,20,8,3d.csv
14,12,11,1,3e.csv
14,22,17,5,3f.csv
14,6,6,0,3g.csv
15,26,16,10,1a.csv
15,2,1,1,1b.csv
15,3,2,1,1c.csv
15,0,0,0,1e.csv
15,22,18,4,1f.csv
15,3,3,0,1g.csv
15,2,2,0,1h.csv
15,0,0,0,1i.csv
15,0,0,0,1j.csv
15,3,3,0,1k.csv
15,8,5,3,1l.csv
15,2,2,0,1m.csv
15,9,9,0,2a.csv
15,1,1,0,2b.csv
15,9,3,6,2c.csv
15,2,0,2,2d.csv
15,0,0,0,2e.csv
15,0,0,0,2f.csv
15,0,0,0,2g.csv
15,1,1,0,2h.csv
15,0,0,0,2i.csv
15,1,1,0,2j.csv
15,5,1,4,2k.csv
15,19,13,6,2l.csv
15,78,57,21,3a.csv
15,63,52,11,3b.csv
15,24,16,8,3c.csv
15,24,16,8,3d.csv
15,13,12,1,3e.csv
15,16,12,4,3f.csv
15,8,7,1,3g.csv
16,26,14,12,1a.csv
16,3,2,1,1b.csv
16,3,2,1,1c.csv
16,0,0,0,1e.csv
16,23,19,4,1f.csv
16,3,3,0,1g.csv
16,2,2,0,1h.csv
16,0,0,0,1i.csv
16,0,0,0,1j.csv
16,2,2,0,1k.csv
16,8,5,3,1l.csv
16,2,2,0,1m.csv
16,10,9,1,2a.csv
16,1,1,0,2b.csv
16,9,3,6,2c.csv
16,2,1,1,2d.csv
16,0,0,0,2e.csv
16,1,1,0,2f.csv
16,0,0,0,2g.csv
16,1,1,0,2h.csv
16,0,0,0,2i.csv
16,1,1,0,2j.csv
16,5,1,4,2k.csv
16,11,8,3,2l.csv
16,79,59,20,3a.csv
16,61,50,11,3b.csv
16,21,15,6,3c.csv
16,21,15,6,3d.csv
16,13,11,2,3e.csv
16,19,13,6,3f.csv
16,8,7,1,3g.csv
17,27,15,12,1a.csv
17,3,2,1,1b.csv
17,2,1,1,1c.csv
17,0,0,0,1e.csv
17,22,19,3,1f.csv
17,2,2,0,1g.csv
17,2,2,0,1h.csv
17,0,0,0,1i.csv
17,0,0,0,1j.csv
17,2,2,0,1k.csv
17,9,5,4,1l.csv
17,0,0,0,1m.csv
17,9,8,1,2a.csv
17,1,1,0,2b.csv
17,8,2,6,2c.csv
17,2,1,1,2d.csv
17,0,0,0,2e.csv
17,1,1,0,2f.csv
17,0,0,0,2g.csv
17,1,1,0,2h.csv
17,0,0,0,2i.csv
17,1,1,0,2j.csv
17,4,1,3,2k.csv
17,10,5,5,2l.csv
17,74,59,15,3a.csv
17,60,50,10,3b.csv
17,21,15,6,3c.csv
17,21,15,6,3d.csv
17,12,10,2,3e.csv
17,22,17,5,3f.csv
17,6,5,1,3g.csv
18,29,17,12,1a.csv
18,4,3,1,1b.csv
18,2,1,1,1c.csv
18,0,0,0,1e.csv
18,17,14,3,1f.csv
18,2,2,0,1g.csv
18,2,2,0,1h.csv
18,0,0,0,1i.csv
18,0,0,0,1j.csv
18,2,2,0,1k.csv
18,9,5,4,1l.csv
18,1,0,1,1m.csv
18,12,11,1,2a.csv
18,1,1,0,2b.csv
18,9,2,7,2c.csv
18,2,2,0,2d.csv
18,0,0,0,2e.csv
18,1,1,0,2f.csv
18,0,0,0,2g.csv
18,0,0,0,2h.csv
18,0,0,0,2i.csv
18,1,1,0,2j.csv
18,2,1,1,2k.csv
18,9,4,5,2l.csv
18,71,58,13,3a.csv
18,57,49,8,3b.csv
18,22,14,8,3c.csv
18,22,14,8,3d.csv
18,10,8,2,3e.csv
18,21,17,4,3f.csv
18,6,5,1,3g.csv
19,33,21,12,1a.csv
19,8,5,3,1b.csv
19,3,2,1,1c.csv
19,1,0,1,1e.csv
19,19,15,4,1f.csv
19,2,2,0,1g.csv
19,1,1,0,1h.csv
19,0,0,0,1i.csv
19,0,0,0,1j.csv
19,2,2,0,1k.csv
19,8,7,1,1l.csv
19,1,0,1,1m.csv
19,10,9,1,2a.csv
19,1,1,0,2b.csv
19,9,2,7,2c.csv
19,3,3,0,2d.csv
19,0,0,0,2e.csv
19,1,1,0,2f.csv
19,0,0,0,2g.csv
19,0,0,0,2h.csv
19,0,0,0,2i.csv
19,1,1,0,2j.csv
19,1,0,1,2k.csv
19,8,3,5,2l.csv
19,68,57,11,3a.csv
19,60,49,11,3b.csv
19,19,13,6,3c.csv
19,19,13,6,3d.csv
19,11,8,3,3e.csv
19,20,16,4,3f.csv
19,6,5,1,3g.csv
20,34,22,12,1a.csv
20,9,7,2,1b.csv
20,5,4,1,1c.csv
20,1,0,1,1e.csv
20,17,13,4,1f.csv
20,1,1,0,1g.csv
20,1,1,0,1h.csv
20,0,0,0,1i.csv
20,1,0,1,1j.csv
20,2,2,0,1k.csv
20,9,7,2,1l.csv
20,1,0,1,1m.csv
20,11,9,2,2a.csv
20,1,1,0,2b.csv
20,5,1,4,2c.csv
20,3,3,0,2d.csv
20,0,0,0,2e.csv
20,2,2,0,2f.csv
20,0,0,0,2g.csv
20,0,0,0,2h.csv
20,0,0,0,2i.csv
20,2,1,1,2j.csv
20,1,0,1,2k.csv
20,8,2,6,2l.csv
20,64,55,9,3a.csv
20,54,44,10,3b.csv
20,17,11,6,3c.csv
20,17,11,6,3d.csv
20,12,9,3,3e.csv
20,23,20,3,3f.csv
20,6,5,1,3g.csv
21,36,24,12,1a.csv
21,21,18,3,1b.csv
21,5,4,1,1c.csv
21,1,0,1,1e.csv
21,17,13,4,1f.csv
21,2,2,0,1g.csv
21,2,2,0,1h.csv
21,1,1,0,1i.csv
21,1,0,1,1j.csv
21,1,1,0,1k.csv
21,11,9,2,1l.csv
21,1,0,1,1m.csv
21,11,9,2,2a.csv
21,1,1,0,2b.csv
21,5,1,4,2c.csv
21,4,4,0,2d.csv
21,0,0,0,2e.csv
21,2,2,0,2f.csv
21,0,0,0,2g.csv
21,0,0,0,2h.csv
21,0,0,0,2i.csv
21,2,1,1,2j.csv
21,1,1,0,2k.csv
21,9,3,6,2l.csv
21,65,54,11,3a.csv
21,49,40,9,3b.csv
21,15,10,5,3c.csv
21,15,10,5,3d.csv
21,11,7,4,3e.csv
21,25,22,3,3f.csv
21,7,6,1,3g.csv
22,35,24,11,1a.csv
22,29,26,3,1b.csv
22,5,4,1,1c.csv
22,1,0,1,1e.csv
22,14,10,4,1f.csv
22,1,1,0,1g.csv
22,2,2,0,1h.csv
22,1,1,0,1i.csv
22,1,0,1,1j.csv
22,0,0,0,1k.csv
22,12,10,2,1l.csv
22,1,0,1,1m.csv
22,11,9,2,2a.csv
22,1,1,0,2b.csv
22,6,2,4,2c.csv
22,4,4,0,2d.csv
22,1,0,1,2e.csv
22,2,2,0,2f.csv
22,0,0,0,2g.csv
22,0,0,0,2h.csv
22,0,0,0,2i.csv
22,3,2,1,2j.csv
22,1,1,0,2k.csv
22,10,4,6,2l.csv
22,59,49,10,3a.csv
22,45,38,7,3b.csv
22,12,8,4,3c.csv
22,12,8,4,3d.csv
22,11,8,3,3e.csv
22,22,19,3,3f.csv
22,7,4,3,3g.csv
23,40,28,12,1a.csv
23,32,29,3,1b.csv
23,5,5,0,1c.csv
23,1,0,1,1e.csv
23,14,11,3,1f.csv
23,1,1,0,1g.csv
23,4,4,0,1h.csv
23,1,1,0,1i.csv
23,2,1,1,1j.csv
23,0,0,0,1k.csv
23,11,9,2,1l.csv
23,1,0,1,1m.csv
23,9,7,2,2a.csv
23,0,0,0,2b.csv
23,6,2,4,2c.csv
23,5,5,0,2d.csv
23,1,0,1,2e.csv
23,2,2,0,2f.csv
23,0,0,0,2g.csv
23,0,0,0,2h.csv
23,0,0,0,2i.csv
23,3,2,1,2j.csv
23,1,1,0,2k.csv
23,12,6,6,2l.csv
23,55,47,8,3a.csv
23,40,34,6,3b.csv
23,11,8,3,3c.csv
23,11,8,3,3d.csv
23,10,7,3,3e.csv
23,22,19,3,3f.csv
23,5,3,2,3g.csv
24,39,29,10,1a.csv
24,36,32,4,1b.csv
24,6,6,0,1c.csv
24,1,0,1,1e.csv
24,9,7,2,1f.csv
24,1,1,0,1g.csv
24,4,4,0,1h.csv
24,1,1,0,1i.csv
24,2,1,1,1j.csv
24,0,0,0,1k.csv
24,11,9,2,1l.csv
24,2,1,1,1m.csv
24,11,10,1,2a.csv
24,0,0,0,2b.csv
24,4,2,2,2c.csv
24,4,4,0,2d.csv
24,2,0,2,2e.csv
24,1,1,0,2f.csv
24,0,0,0,2g.csv
24,0,0,0,2h.csv
24,0,0,0,2i.csv
24,3,2,1,2j.csv
24,1,1,0,2k.csv
24,12,6,6,2l.csv
24,52,43,9,3a.csv
24,39,34,5,3b.csv
24,11,7,4,3c.csv
24,11,7,4,3d.csv
24,8,6,2,3e.csv
24,20,19,1,3f.csv
24,5,3,2,3g.csv
25,34,26,8,1a.csv
25,44,40,4,1b.csv
25,6,6,0,1c.csv
25,1,0,1,1e.csv
25,6,5,1,1f.csv
25,1,1,0,1g.csv
25,4,4,0,1h.csv
25,1,1,0,1i.csv
25,2,1,1,1j.csv
25,0,0,0,1k.csv
25,12,11,1,1l.csv
25,2,1,1,1m.csv
25,12,11,1,2a.csv
25,0,0,0,2b.csv
25,5,3,2,2c.csv
25,4,4,0,2d.csv
25,2,0,2,2e.csv
25,1,1,0,2f.csv
25,0,0,0,2g.csv
25,0,0,0,2h.csv
25,0,0,0,2i.csv
25,3,2,1,2j.csv
25,1,1,0,2k.csv
25,14,9,5,2l.csv
25,47,37,10,3a.csv
25,33,27,6,3b.csv
25,11,7,4,3c.csv
25,11,7,4,3d.csv
25,10,8,2,3e.csv
25,19,17,2,3f.csv
25,5,3,2,3g.csv
26,32,26,6,1a.csv
26,48,43,5,1b.csv
26,5,5,0,1c.csv
26,1,0,1,1e.csv
26,5,4,1,1f.csv
26,1,1,0,1g.csv
26,4,4,0,1h.csv
26,1,1,0,1i.csv
26,2,1,1,1j.csv
26,0,0,0,1k.csv
26,13,12,1,1l.csv
26,1,1,0,1m.csv
26,10,9,1,2a.csv
26,0,0,0,2b.csv
26,4,3,1,2c.csv
26,5,4,1,2d.csv
26,2,0,2,2e.csv
26,1,1,0,2f.csv
26,0,0,0,2g.csv
26,0,0,0,2h.csv
26,0,0,0,2i.csv
26,3,2,1,2j.csv
26,1,1,0,2k.csv
26,14,9,5,2l.csv
26,51,41,10,3a.csv
26,31,25,6,3b.csv
26,11,8,3,3c.csv
26,11,8,3,3d.csv
26,12,8,4,3e.csv
26,21,18,3,3f.csv
26,4,2,2,3g.csv
27,29,24,5,1a.csv
27,50,44,6,1b.csv
27,4,4,0,1c.csv
27,0,0,0,1e.csv
27,2,2,0,1f.csv
27,1,1,0,1g.csv
27,5,5,0,1h.csv
27,1,1,0,1i.csv
27,2,1,1,1j.csv
27,0,0,0,1k.csv
27,12,11,1,1l.csv
27,1,1,0,1m.csv
27,12,10,2,2a.csv
27,0,0,0,2b.csv
27,4,3,1,2c.csv
27,7,6,1,2d.csv
27,3,0,3,2e.csv
27,1,1,0,2f.csv
27,0,0,0,2g.csv
27,0,0,0,2h.csv
27,0,0,0,2i.csv
27,3,2,1,2j.csv
27,2,1,1,2k.csv
27,16,9,7,2l.csv
27,49,40,9,3a.csv
27,25,21,4,3b.csv
27,14,11,3,3c.csv
27,14,11,3,3d.csv
27,10,7,3,3e.csv
27,22,20,2,3f.csv
27,6,3,3,3g.csv
28,31,27,4,1a.csv
28,57,48,9,1b.csv
28,4,4,0,1c.csv
28,0,0,0,1e.csv
28,2,2,0,1f.csv
28,1,1,0,1g.csv
28,5,5,0,1h.csv
28,1,1,0,1i.csv
28,1,1,0,1j.csv
28,0,0,0,1k.csv
28,9,9,0,1l.csv
28,3,3,0,1m.csv
28,10,9,1,2a.csv
28,0,0,0,2b.csv
28,3,2,1,2c.csv
28,7,6,1,2d.csv
28,4,1,3,2e.csv
28,0,0,0,2f.csv
28,0,0,0,2g.csv
28,0,0,0,2h.csv
28,0,0,0,2i.csv
28,2,2,0,2j.csv
28,2,1,1,2k.csv
28,16,10,6,2l.csv
28,52,40,12,3a.csv
28,26,22,4,3b.csv
28,14,12,2,3c.csv
28,14,12,2,3d.csv
28,10,6,4,3e.csv
28,20,16,4,3f.csv
28,6,3,3,3g.csv
29,30,26,4,1a.csv
29,47,39,8,1b.csv
29,4,4,0,1c.csv
29,0,0,0,1e.csv
29,2,2,0,1f.csv
29,0,0,0,1g.csv
29,4,4,0,1h.csv
29,0,0,0,1i.csv
29,1,1,0,1j.csv
29,0,0,0,1k.csv
29,8,8,0,1l.csv
29,3,3,0,1m.csv
29,10,9,1,2a.csv
29,0,0,0,2b.csv
29,3,2,1,2c.csv
29,7,6,1,2d.csv
29,5,2,3,2e.csv
29,0,0,0,2f.csv
29,0,0,0,2g.csv
29,0,0,0,2h.csv
29,0,0,0,2i.csv
29,2,2,0,2j.csv
29,1,0,1,2k.csv
29,14,9,5,2l.csv
29,51,39,12,3a.csv
29,26,22,4,3b.csv
29,13,11,2,3c.csv
29,13,11,2,3d.csv
29,10,6,4,3e.csv
29,18,14,4,3f.csv
29,6,3,3,3g.csv
30,34,28,6,1a.csv
30,40,31,9,1b.csv
30,4,4,0,1c.csv
30,0,0,0,1e.csv
30,2,2,0,1f.csv
30,1,1,0,1g.csv
30,5,4,1,1h.csv
30,0,0,0,1i.csv
30,1,1,0,1j.csv
30,0,0,0,1k.csv
30,8,8,0,1l.csv
30,3,3,0,1m.csv
30,9,8,1,2a.csv
30,0,0,0,2b.csv
30,1,1,0,2c.csv
30,7,6,1,2d.csv
30,4,2,2,2e.csv
30,0,0,0,2f.csv
30,0,0,0,2g.csv
30,0,0,0,2h.csv
30,0,0,0,2i.csv
30,1,1,0,2j.csv
30,1,0,1,2k.csv
30,13,8,5,2l.csv
30,54,41,13,3a.csv
30,24,20,4,3b.csv
30,12,10,2,3c.csv
30,12,10,2,3d.csv
30,9,5,4,3e.csv
30,15,11,4,3f.csv
30,5,4,1,3g.csv
31,32,26,6,1a.csv
31,40,30,10,1b.csv
31,3,3,0,1c.csv
31,0,0,0,1e.csv
31,0,0,0,1f.csv
31,1,1,0,1g.csv
31,3,2,1,1h.csv
31,0,0,0,1i.csv
31,0,0,0,1j.csv
31,1,1,0,1k.csv
31,12,12,0,1l.csv
31,4,4,0,1m.csv
31,8,7,1,2a.csv
31,0,0,0,2b.csv
31,2,2,0,2c.csv
31,6,5,1,2d.csv
31,5,2,3,2e.csv
31,0,0,0,2f.csv
31,0,0,0,2g.csv
31,0,0,0,2h.csv
31,0,0,0,2i.csv
31,1,1,0,2j.csv
31,1,0,1,2k.csv
31,9,5,4,2l.csv
31,51,39,12,3a.csv
31,29,22,7,3b.csv
31,12,10,2,3c.csv
31,12,10,2,3d.csv
31,9,5,4,3e.csv
31,17,13,4,3f.csv
31,6,5,1,3g.csv
32,35,28,7,1a.csv
