Name,Frequency,UID,follower,ratio
CCTV_国家宝藏,1,258844831,1109569,0.009012508460492317
奶糕成精档案社,1,27756469,1665925,0.006002671188678962
王骁Albert,1,52165725,1984017,0.0050402793927672995
凉风Kaze,1,14110780,8117066,0.0012319722421870168
轩邈Elias,1,3386870,1315520,0.007601556798832401
一个爱吃的猪,1,60509716,1206058,0.008291475202685111
Neouo,1,327521399,130322,0.07673301514709718
这个月-,1,173986740,845329,0.011829713638121962
了不起De中国人,3,404194769,1058203,0.02834994797784546
幸运猎手,1,496783876,862196,0.011598290875856534
谭乔,3,330415548,4275228,0.0070171696106032235
汪康夫,1,2052129147,102819,0.09725828883766618
动画纪,1,108605804,397030,0.02518701357580032
大树君,1,17293251,825980,0.012106830673866194
佳人温文,1,179444595,716128,0.013963984092229322
画渣花小烙,1,402576555,3445088,0.0029026834728169497
一观者也,1,10285240,627534,0.015935391548505737
于赓哲老师,1,523554877,662134,0.01510268314268713
进击中的莉莉安,1,618230158,332368,0.030087132335242864
韩剧TV官方,1,345661152,177970,0.05618924537843457
YouTube英语精选,1,483301783,2103533,0.004753906879521263
汪品先院士,1,513722566,1746494,0.0057257568591704295
历史调研室,1,519872016,3517128,0.002843228907222029
高盛元,1,484417428,512184,0.019524233478593632
纸条App,1,236602327,1528499,0.006542366072859714
卡布叻_周深,1,3404595,2301669,0.004344673365284061
low君热剧,1,34189415,2455395,0.004072664479645841
五百-,1,163404472,755394,0.013238124740201801
刘擎教授,1,1001749624,476538,0.020984685376612147
有山先生,1,28626598,1452500,0.0068846815834767644
BettySays,1,6302909,1048321,0.009539062939691182
AHALOLO,1,353368172,921674,0.010849823256379154
_gloriagao,1,332351380,459840,0.02174669450243563
叫我tina小姐姐,1,265578856,921522,0.010851612875221643
冷风寻犬,1,2136759778,371025,0.026952361700694025
白日妄想家,1,13829896,516685,0.019354151949446955
帕梅拉PamelaReif,1,604003146,9266256,0.0010791845163785675
小桑菜奈,1,31438993,1779184,0.005620554141673936
小片片说大片,1,10119428,6019762,0.0016611952432670925
哔哩哔哩晚会,3,489412051,6237070,0.004809950826269386
JKAI杰凯,1,7295246,1213921,0.008237768355601393
幾加乘,1,404216060,1462028,0.006839814285362524
刘谦,1,641975239,2440832,0.004096963658293566
松浦文哉-SPWZ社長-,1,14402657,1487644,0.006722038337129044
兔叭咯,1,7788379,6992185,0.0014301681091103853
哔哩哔哩向前冲,1,2053966364,507004,0.01972371026658567
奇闻观察室,1,454719565,2990853,0.0033435277494413803
虫哥说电影,1,29296192,2736849,0.0036538369489876863
哔哩哔哩弹幕网,1,8047632,3476565,0.002876402425957806
杨亮讲英文,1,298786044,179198,0.05580419424323932
小紧张的虫虫,1,6087825,3712850,0.0026933487751996444
考研政治陆寓丰,1,41832729,888100,0.011259993244004054
考研政治徐涛,1,342722155,2077838,0.004812694733660661
鸟山学长,1,258819429,675733,0.014798744474518781
柳飘飘了吗,1,646456240,751057,0.013314568667890719
刘老师说电影,1,79061224,4454167,0.0022450887000869074
风行女王,1,20124156,821244,0.01217664908358539
六层楼先生,1,103388721,1665259,0.006005071883712984

